"","b.iptw.res"
"1",-0.266689829151813
"2",-0.351725352041402
"3",-0.294172384658314
"4",-0.317308009255257
"5",-0.192973786383562
"6",-0.274685528244081
"7",-0.236086764084571
"8",-0.303982340682935
"9",-0.342348284639627
"10",-0.34957163072425
"11",-0.379134988892483
"12",-0.162959207816779
"13",-0.334366269266803
"14",-0.291933962260201
"15",-0.269017471152838
"16",-0.330348157215093
"17",-0.318749043115864
"18",-0.315903149931546
"19",-0.200623263068008
"20",-0.24203431270985
"21",-0.250198218778397
"22",-0.240873518633938
"23",-0.263044961919513
"24",-0.297708260639706
"25",-0.245386089205459
"26",-0.168664426267677
"27",-0.332026545386922
"28",-0.163954275161553
"29",-0.348665039106969
"30",-0.243218907471288
"31",-0.223896741960343
"32",-0.265789782164417
"33",-0.28072453869319
"34",-0.361115635323865
"35",-0.302762731471611
"36",-0.311645469211089
"37",-0.240981737535801
"38",-0.248170913604103
"39",-0.346719040896062
"40",-0.291842496803048
"41",-0.406147647769904
"42",-0.372786736887926
"43",-0.257142306855853
"44",-0.309606975435243
"45",-0.185951445256665
"46",-0.373140720691314
"47",-0.253275511876401
"48",-0.307894559025182
"49",-0.242842070790733
"50",-0.292194876082897
"51",-0.364950714677408
"52",-0.253920096721381
"53",-0.265674042488945
"54",-0.367903169702187
"55",-0.281990421305719
"56",-0.404213761606418
"57",-0.26396457181304
"58",-0.334665323341592
"59",-0.311330178749009
"60",-0.309726048349951
"61",-0.275484519896149
"62",-0.341592465295155
"63",-0.247474289314093
"64",-0.16478419939832
"65",-0.313476708718917
"66",-0.342047985825408
"67",-0.299709578277833
"68",-0.269113950298896
"69",-0.340798251947257
"70",-0.266430806488202
"71",-0.325154184218015
"72",-0.25652463136726
"73",-0.433440282256535
"74",-0.181555802813209
"75",-0.340389470604373
"76",-0.282494804681316
"77",-0.273946464467435
"78",-0.316414502765241
"79",-0.239604243984135
"80",-0.207316243286159
"81",-0.224269098784581
"82",-0.385189685813481
"83",-0.366224166724739
"84",-0.248844535576346
"85",-0.259014239835837
"86",-0.294549488794553
"87",-0.326854817143523
"88",-0.334592024115737
"89",-0.249557882587319
"90",-0.2774311479304
"91",-0.291222240313354
"92",-0.343756005142887
"93",-0.289756311307125
"94",-0.300336020913646
"95",-0.20756469872049
"96",-0.24162953849383
"97",-0.332112572161663
"98",-0.181093139102892
"99",-0.22771406619573
"100",-0.24515401058704
